trace,L_class_number,commutator_class_number,genus
36162,30,30.0,"[[(-10, 42, 70), (-6, 22, 134)], array([list([[24153, 21104], [13744, 12009]]),
       list([[25753, 19504], [13744, 10409]]),
       list([[37049, -2192], [14992, -887]]),
       list([[29097, 14992], [13712, 7065]])], dtype=object)]"
36286,30,30.0,"[[(10, 46, 110)], array([list([[-36647, -3168], [4176, 361]]),
       list([[-58679, 25632], [-51264, 22393]])], dtype=object)]"
36354,28,28.0,2
36462,76,76.0,1
36498,64,64.0,1
36542,22,22.0,"[[(6, 90, 102)], array([list([[-35575, -3024], [-11376, -967]]),
       list([[-60871, 28176], [-52560, 24329]]),
       list([[-35671, -1392], [-22320, -871]])], dtype=object)]"
36606,72,72.0,1
36610,68,68.0,"[[(-6, 6, 174)], array([list([[37889, -2736], [17712, -1279]]),
       list([[23057, 19728], [15840, 13553]]),
       list([[47393, 22896], [-22320, -10783]]),
       list([[47393, 22320], [-22896, -10783]]),
       list([[27377, 22896], [11040, 9233]]),
       list([[31313, 15024], [11040, 5297]]),
       list([[25841, 22128], [12576, 10769]]),
       list([[36977, -1488], [9120, -367]]),
       list([[36785, -1056], [6096, -175]])], dtype=object)]"
36718,28,28.0,"[[(6, 74, 138), (14, 38, 86), (26, 26, 62), (26, 34, 46)], array([list([[-35243, -1608], [-32328, -1475]])], dtype=object)]"
36754,12,12.0,2
36798,124,124.0,1
36846,76,76.0,1
36862,26,26.0,1
36866,84,84.0,1
36882,62,62.0,1
36930,136,136.0,1
36974,36,36.0,1
37010,28,28.0,1
37118,16,16.0,2
37122,88,88.0,"[[(-14, 34, 66)], array([list([[46609, 22432], [-19712, -9487]]),
       list([[46609, 19712], [-22432, -9487]]),
       list([[57713, 27776], [-42784, -20591]]),
       list([[56753, 26336], [-42304, -19631]]),
       list([[38161, -2560], [15488, -1039]]),
       list([[24097, 21392], [14672, 13025]]),
       list([[25057, 19952], [15152, 12065]]),
       list([[27121, 24640], [11008, 10001]]),
       list([[37809, -1408], [18448, -687]]),
       list([[30641, 26240], [7568, 6481]])], dtype=object)]"
37186,8,8.0,2
37230,74,74.0,1
37266,52,52.0,1
37374,72,72.0,1
37442,50,50.0,1
37566,20,20.0,"[[(6, 70, 170)], array([list([[-36727, -3152], [-9776, -839]]),
       list([[-56839, 22544], [-48592, 19273]]),
       list([[-61303, 27568], [-52784, 23737]]),
       list([[-36839, -3728], [-7184, -727]])], dtype=object)]"
37614,44,44.0,1
37650,66,66.0,1
37698,36,36.0,"[[(-22, 26, 58), (-10, 54, 58), (-10, 26, 102), (-10, 10, 150)], array([list([[41769, -13040], [13040, -4071]]),
       list([[37849, -1520], [3760, -151]])], dtype=object)]"
37870,68,68.0,1
37890,66,66.0,"[[(-30, 34, 34), (-10, 34, 86), (-6, 26, 130)], array([list([[59937, 28928], [-45680, -22047]]),
       list([[38145, -2576], [3776, -255]])], dtype=object)]"
37906,40,40.0,1
37998,74,74.0,1
38034,54,54.0,1
38126,12,12.0,2
38142,80,80.0,1
38162,26,26.0,"[[(-22, 34, 46), (-6, 6, 178)], array([list([[39301, -2376], [18840, -1139]]),
       list([[39253, -2376], [18024, -1091]]),
       list([[39325, -3192], [14328, -1163]]),
       list([[27493, 20472], [14328, 10669]])], dtype=object)]"
38334,68,68.0,1
38382,74,74.0,1
38418,70,70.0,1
38466,128,128.0,1
38590,16,16.0,2
38658,56,56.0,1
