"trace","L_class_number","commutator_class_number","genus"
64446,104,104.,0
64494,66,66.,0
64510,48,48.,0
64514,46,46.,0
64530,108,108.,0
64578,134,134.,0
64622,84,84.,0
64658,34,34.,0
64766,28,28.,0
64770,212,212.,0
64834,4,4.,0
64878,116,116.,0
64914,68,68.,0
65022,80,80.,0
65090,40,40.,0
65214,30,30.,0
65262,124,124.,0
65298,116,116.,0
65346,32,32.,0
65518,68,68.,0
65538,153,153.,0
65554,44,44.,0
65646,92,92.,0
65682,116,116.,0
65774,36,36.,0
65790,76,76.,0
65810,80,80.,0
65982,128,128.,0
66030,132,132.,0
66066,80,80.,0
66114,150,150.,0
66238,14,14.,0
66306,60,60.,0
66414,104,104.,0
66450,112,112.,0
66494,48,48.,0
66558,124,124.,0
66562,47,47.,0
66670,40,40.,0
66706,62,62.,0
66750,56,56.,0
66798,128,128.,0
66814,40,40.,0
66818,28,28.,0
66834,76,76.,0
66882,40,40.,0
66926,24,24.,0
66962,20,20.,0
67070,40,40.,0
67074,80,80.,0
67138,90,90.,0
67182,80,80.,0
67218,104,104.,0
67326,140,140.,0
67394,48,48.,0
67518,136,136.,0
67566,102,102.,0
67602,147,147.,0
67650,196,196.,0
67822,56,56.,0
67842,176,176.,0
67858,36,36.,0
67950,132,132.,0
67986,104,104.,0
68078,44,44.,0
68094,92,92.,0
68114,16,16.,0
68286,40,40.,0
68334,64,64.,0
68370,134,134.,0
68418,48,48.,0
68542,82,82.,0
68610,128,128.,0
68718,144,144.,0
68754,78,78.,0
68798,54,54.,0
68862,64,64.,0
68866,50,50.,0
68974,76,76.,0
69010,56,56.,0
69054,166,166.,0
69102,148,148.,0
69118,44,44.,0
69122,52,52.,0
69138,128,128.,0
69186,204,204.,0
69230,44,44.,0
69266,78,78.,0
69374,96,96.,0
69378,72,72.,0
69442,16,16.,0
69486,96,96.,0
69522,100,100.,0
69630,226,226.,0
69698,178,178.,0
69822,48,48.,0
69870,164,164.,0
69906,88,88.,0
69954,34,34.,0
70126,20,20.,0
70146,80,80.,0
70162,76,76.,0
70254,104,104.,0
70290,108,108.,0
70382,40,40.,0
70398,100,100.,0
70418,36,36.,0
70590,180,180.,0
70638,128,128.,0
70674,68,68.,0
70722,192,192.,0
70846,24,24.,0
70914,70,70.,0
